Strain,Dimension,Direction,Strain rate,Temperature ,Stress,Young's modulus,Acceptable/Not Acceptable,
0.0027,33,1,0.02,100,1.5003,555.6666667,0,
0.003,33,1,0.02,100,1.8613,620.4333333,1,
0.0033,33,1,0.02,100,2.0849,631.7878788,1,
0.2793,33,1,0.02,100,114.4385,409.7332617,0,
0.2796,33,1,0.02,100,114.5832,409.8111588,0,
0.2799,33,1,0.02,100,114.6444,409.5905681,0,
0.2803,33,1,0.02,100,114.7092,409.2372458,0,
0.2996,33,1,0.02,100,119.4353,398.6491989,0,
0.2999,33,1,0.02,100,119.4692,398.3634545,0,
0.3002,33,1,0.02,100,119.5717,398.3067955,0,
0.0001,33,1,0.02,300,-0.8205,-8205,0,
0.0005,33,1,0.02,300,-1.1946,-2389.2,0,
0.0008,33,1,0.02,300,-0.6908,-863.5,0,
0.0011,33,1,0.02,300,-0.4516,-410.5454545,0,
0.0014,33,1,0.02,300,-0.0821,-58.64285714,0,
0.0017,33,1,0.02,300,0.1576,92.70588235,0,
0.002,33,1,0.02,300,0.2632,131.6,0,
0.0024,33,1,0.02,300,0.4877,203.2083333,0,
0.0027,33,1,0.02,300,0.6345,235,0,
0.003,33,1,0.02,300,0.6142,204.7333333,0,
0.0033,33,1,0.02,300,0.8974,271.9393939,0,
0.0036,33,1,0.02,300,1.0609,294.6944444,0,
0.0039,33,1,0.02,300,1.3735,352.1794872,0,
0.0043,33,1,0.02,300,1.6415,381.744186,0,
0.0046,33,1,0.02,300,1.7237,374.7173913,0,
0.2996,33,1,0.02,300,115.8167,386.5710948,0,
0.2999,33,1,0.02,300,115.9862,386.7495832,0,
0.3002,33,1,0.02,300,116.2813,387.3461026,0,
0,33,1,0.02,300,115.8424,0,0,
0.0001,33,1,0.02,600,-1.0431,-10431,0,
0.0005,33,1,0.02,600,-1.5731,-3146.2,0,
0.0008,33,1,0.02,600,-1.1338,-1417.25,0,
0.0011,33,1,0.02,600,-0.7305,-664.0909091,0,
0.0014,33,1,0.02,600,-0.6896,-492.5714286,0,
0.0017,33,1,0.02,600,-0.3733,-219.5882353,0,
0.002,33,1,0.02,600,-0.4565,-228.25,0,
0.0024,33,1,0.02,600,-0.4356,-181.5,0,
0.0027,33,1,0.02,600,-0.1216,-45.03703704,0,
0.003,33,1,0.02,600,-0.1319,-43.96666667,0,
0.0033,33,1,0.02,600,0.2399,72.6969697,0,
0.0036,33,1,0.02,600,0.3935,109.3055556,0,
0.0039,33,1,0.02,600,0.5775,148.0769231,0,
0.0043,33,1,0.02,600,0.5671,131.8837209,0,
0.0046,33,1,0.02,600,0.8976,195.1304348,0,
0.0049,33,1,0.02,600,0.9056,184.8163265,0,
0.0052,33,1,0.02,600,1.2126,233.1923077,0,
0.2428,33,1,0.02,600,98.9669,407.6066722,0,
0.2431,33,1,0.02,600,99.1641,407.9148499,0,
0.2435,33,1,0.02,600,99.1322,407.1137577,0,
0.2438,33,1,0.02,600,99.2345,407.0324036,0,
0.2976,33,1,0.02,600,111.7573,375.5285618,0,
0.2979,33,1,0.02,600,111.9533,375.8083249,0,
0.2982,33,1,0.02,600,111.7458,374.7344064,0,
0.2985,33,1,0.02,600,111.8843,374.8217755,0,
0.2988,33,1,0.02,600,111.6971,373.8189424,0,
0.2991,33,1,0.02,600,112.0335,374.5687061,0,
0.2995,33,1,0.02,600,111.9343,373.7372287,0,
0.2998,33,1,0.02,600,111.749,372.7451634,0,
0.3001,33,1,0.02,600,111.9319,372.982006,0,
0,33,1,0.02,1200,-1.4094,0,0,
0.0001,33,1,0.02,1200,-2.4775,-24775,0,
0.0005,33,1,0.02,1200,-1.4698,-2939.6,0,
0.0008,33,1,0.02,1200,-1.4563,-1820.375,0,
0.2978,33,1,0.02,1200,0.2853,0.95802552,0,
0.2981,33,1,0.02,1200,0.5207,1.746729285,0,
0.2985,33,1,0.02,1200,0.3225,1.08040201,0,
0.2988,33,1,0.02,1200,0.1365,0.456827309,0,
0.2991,33,1,0.02,1200,0.6824,2.2815112,0,
0.2994,33,1,0.02,1200,0.3896,1.301269205,0,
0.2997,33,1,0.02,1200,0.679,2.265598932,0,
0.3,33,1,0.02,1200,0.319,1.063333333,0,
0,33,1,0.04,1,1.4457,0,0,
0.0003,33,1,0.04,1,2.0315,6771.666667,1,
0.0009,33,1,0.04,1,2.3687,2631.888889,1,
0.0015,33,1,0.04,1,2.7828,1855.2,1,
0.0022,33,1,0.04,1,3.1327,1423.954545,1,
0.0028,33,1,0.04,1,3.4671,1238.25,1,
0.0034,33,1,0.04,1,3.8528,1133.176471,1,
0.0041,33,1,0.04,1,4.2244,1030.341463,1,
0.0047,33,1,0.04,1,4.5445,966.9148936,1,
0.0275,33,1,0.04,1,17.2694,627.9781818,1,
0.0281,33,1,0.04,1,17.6156,626.8896797,1,
0.0287,33,1,0.04,1,17.968,626.0627178,1,
0.0294,33,1,0.04,1,18.2953,622.2891156,1,
0.03,33,1,0.04,1,18.648,621.6,1,
0.0306,33,1,0.04,1,18.9867,620.4803922,1,
0.0313,33,1,0.04,1,19.3359,617.7603834,1,
0.297,33,1,0.04,1,119.8409,403.5047138,0,
0.2976,33,1,0.04,1,119.9974,403.2170699,0,
0.2982,33,1,0.04,1,120.1646,402.9664655,0,
0.2989,33,1,0.04,1,120.3059,402.4954834,0,
0.2995,33,1,0.04,1,120.4328,402.1128548,0,
0.3001,33,1,0.04,1,120.5843,401.8137288,0,
0,33,1,0.04,10,1.1367,0,0,
0.0003,33,1,0.04,10,1.6346,5448.666667,1,
0.0009,33,1,0.04,10,1.9474,2163.777778,1,
0.0015,33,1,0.04,10,2.438,1625.333333,1,
0.0022,33,1,0.04,10,2.8111,1277.772727,1,
0.0028,33,1,0.04,10,3.0953,1105.464286,1,
0.0034,33,1,0.04,10,3.5114,1032.764706,1,
0.0041,33,1,0.04,10,3.8506,939.1707317,1,
0.297,33,1,0.04,10,119.8437,403.5141414,0,
0.2977,33,1,0.04,10,120.0127,403.1330198,0,
0.2983,33,1,0.04,10,120.1517,402.7881328,0,
0.2989,33,1,0.04,10,120.288,402.4355972,0,
0.2996,33,1,0.04,10,120.3808,401.8050734,0,
0.3002,33,1,0.04,10,120.5536,401.5776149,0,
0,33,1,0.04,100,0.187,0,0,
0.0003,33,1,0.04,100,0.0926,308.6666667,0,
0.0009,33,1,0.04,100,0.6105,678.3333333,1,
0.0015,33,1,0.04,100,1.3827,921.8,1,
0.0022,33,1,0.04,100,1.663,755.9090909,1,
0.0028,33,1,0.04,100,1.7384,620.8571429,1,
0.0034,33,1,0.04,100,2.2938,674.6470588,1,
0.0041,33,1,0.04,100,2.8071,684.6585366,1,
0.0047,33,1,0.04,100,2.9277,622.9148936,1,
0.0053,33,1,0.04,100,3.3882,639.2830189,1,
0.006,33,1,0.04,100,3.6451,607.5166667,1,
0.0066,33,1,0.04,100,3.9159,593.3181818,0,
0.0072,33,1,0.04,100,4.6086,640.0833333,1,
0.2965,33,1,0.04,100,118.7513,400.5102867,0,
0.2972,33,1,0.04,100,118.8888,400.0296097,0,
0.2978,33,1,0.04,100,119.0607,399.8008731,0,
0.2984,33,1,0.04,100,119.1733,399.3743298,0,
0.2991,33,1,0.04,100,119.2403,398.6636576,0,
0.2997,33,1,0.04,100,119.402,398.4050717,0,
0.3003,33,1,0.04,100,119.6026,398.2770563,0,
0,33,1,0.04,300,-0.7478,0,0,
0.0003,33,1,0.04,300,-0.902,-3006.666667,0,
0.0009,33,1,0.04,300,-0.2662,-295.7777778,0,
0.0015,33,1,0.04,300,0.234,156,0,
0.0022,33,1,0.04,300,0.6582,299.1818182,0,
0.0028,33,1,0.04,300,1.2059,430.6785714,0,
0.0034,33,1,0.04,300,1.303,383.2352941,0,
0.0041,33,1,0.04,300,1.819,443.6585366,0,
0.0047,33,1,0.04,300,2.2013,468.3617021,0,
0.0053,33,1,0.04,300,2.3677,446.7358491,0,
0.006,33,1,0.04,300,2.8274,471.2333333,0,
0.2985,33,1,0.04,300,116.1632,389.1564489,0,
0.2991,33,1,0.04,300,116.066,388.0508191,0,
0.2997,33,1,0.04,300,115.8834,386.6646647,0,
0.3003,33,1,0.04,300,116.0157,386.3326673,0,
0,33,1,0.04,600,-0.9697,0,0,
0.0003,33,1,0.04,600,-1.3524,-4508,0,
0.0009,33,1,0.04,600,-0.7932,-881.3333333,0,
0.0015,33,1,0.04,600,-0.2496,-166.4,0,
0.0022,33,1,0.04,600,0.1563,71.04545455,0,
0.0028,33,1,0.04,600,0.2981,106.4642857,0,
0.0034,33,1,0.04,600,0.4502,132.4117647,0,
0.0041,33,1,0.04,600,0.7904,192.7804878,0,
0.0047,33,1,0.04,600,1.2304,261.787234,0,
0.0053,33,1,0.04,600,1.434,270.5660377,0,
0.2971,33,1,0.04,600,111.8806,376.5755638,0,
0.2977,33,1,0.04,600,112.0491,376.3825999,0,
0.2983,33,1,0.04,600,112.4584,376.9976534,0,
0.299,33,1,0.04,600,112.2983,375.5795987,0,
0.2996,33,1,0.04,600,112.5327,375.6098131,0,
0.3002,33,1,0.04,600,112.6942,375.3970686,0,
0,33,1,0.04,1200,-1.3238,0,0,
0.0003,33,1,0.04,1200,-2.3467,-7822.333333,0,
0.0009,33,1,0.04,1200,-1.2077,-1341.888889,0,
0.0015,33,1,0.04,1200,-0.8858,-590.5333333,0,
0.0022,33,1,0.04,1200,-0.6308,-286.7272727,0,
0.0028,33,1,0.04,1200,-0.4292,-153.2857143,0,
0.0034,33,1,0.04,1200,0.0599,17.61764706,0,
0.0041,33,1,0.04,1200,-0.1246,-30.3902439,0,
0.207,33,1,0.04,1200,-3.9779,-19.21690821,0,
0.2076,33,1,0.04,1200,3.8287,18.44267823,0,
0,33,0,0.05,1,1.0932,0,0,
0.0006,33,0,0.05,1,2.0369,3394.833333,1,
0.002,33,0,0.05,1,2.8539,1426.95,1,
0.0034,33,0,0.05,1,3.679,1082.058824,1,
0.0047,33,0,0.05,1,4.4682,950.6808511,1,
0.0061,33,0,0.05,1,5.3025,869.2622951,1,
0.0075,33,0,0.05,1,6.0719,809.5866667,1,
0.0088,33,0,0.05,1,6.9071,784.8977273,1,
0.0102,33,0,0.05,1,7.694,754.3137255,1,
0.0116,33,0,0.05,1,8.5232,734.7586207,1,
0.0129,33,0,0.05,1,9.2991,720.8604651,1,
0.1089,33,0,0.05,1,61.2484,562.4279155,0,
0.1103,33,0,0.05,1,61.9129,561.3136899,0,
0.1116,33,0,0.05,1,62.5672,560.6379928,0,
0.113,33,0,0.05,1,63.2314,559.5699115,0,
0.1144,33,0,0.05,1,63.8838,558.4248252,0,
0.1157,33,0,0.05,1,64.5508,557.9152982,0,
0.1171,33,0,0.05,1,65.1962,556.7566183,0,
0.1185,33,0,0.05,1,65.8382,555.5966245,0,
0.1199,33,0,0.05,1,66.4916,554.558799,0,
0.1212,33,0,0.05,1,67.1294,553.8729373,0,
0.1226,33,0,0.05,1,67.775,552.8140294,0,
0.2749,33,0,0.05,10,122.5933,445.955984,0,
0.2762,33,0,0.05,10,122.9377,445.1039102,0,
0.2776,33,0,0.05,10,123.2639,444.0342219,0,
0.279,33,0,0.05,10,123.6152,443.065233,0,
0.2803,33,0,0.05,10,123.9606,442.2425972,0,
0.2817,33,0,0.05,10,124.3077,441.2768903,0,
0.2831,33,0,0.05,10,124.6159,440.1833274,0,
0.2845,33,0,0.05,10,124.9756,439.2815466,0,
0.2927,33,0,0.05,10,126.9264,433.6399043,0,
0.2941,33,0,0.05,10,127.2345,432.6232574,0,
0.2954,33,0,0.05,10,127.5505,431.7890995,0,
0.2968,33,0,0.05,10,127.8909,430.8992588,0,
0.2982,33,0,0.05,10,128.2102,429.9470154,0,
0.2995,33,0,0.05,10,128.5049,429.0647746,0,
0.3009,33,0,0.05,10,128.7796,427.9813892,0,
0,33,0,0.05,100,-1.7094,0,0,
0.0006,33,0,0.05,100,-0.9753,-1625.5,0,
0.002,33,0,0.05,100,-0.3199,-159.95,0,
0.0034,33,0,0.05,100,0.5922,174.1764706,0,
0.0047,33,0,0.05,100,1.3202,280.893617,0,
0.0061,33,0,0.05,100,2.189,358.852459,0,
0.0075,33,0,0.05,100,2.9086,387.8133333,0,
0.0088,33,0,0.05,100,3.6507,414.8522727,0,
0.0102,33,0,0.05,100,4.5938,450.372549,0,
0.0116,33,0,0.05,100,5.2638,453.7758621,0,
0.2958,33,0,0.05,100,125.124,423.0020284,0,
0.2972,33,0,0.05,100,125.3877,421.8967026,0,
0.2985,33,0,0.05,100,125.7721,421.3470687,0,
0.2999,33,0,0.05,100,126.0401,420.2737579,0,
0.3013,33,0,0.05,100,126.3217,419.2555592,0,
0,33,0,0.05,300,-3.1835,0,0,
0.0006,33,0,0.05,300,-2.7969,-4661.5,0,
0.002,33,0,0.05,300,-2.0725,-1036.25,0,
0.0034,33,0,0.05,300,-1.2574,-369.8235294,0,
0.0047,33,0,0.05,300,-0.5513,-117.2978723,0,
0.0061,33,0,0.05,300,0.3152,51.67213115,0,
0.0075,33,0,0.05,300,1.0942,145.8933333,0,
0.2918,33,0,0.05,300,121.0784,414.9362577,0,
0.2932,33,0,0.05,300,121.3971,414.0419509,0,
0.2946,33,0,0.05,300,121.6233,412.8421589,0,
0.296,33,0,0.05,300,121.8684,411.7175676,0,
0.2973,33,0,0.05,300,122.3198,411.4355869,0,
0.2987,33,0,0.05,300,122.4897,410.075996,0,
0.3001,33,0,0.05,300,122.718,408.9236921,0,
0,33,0,0.05,600,-3.5577,0,0,
0.0006,33,0,0.05,600,-3.5258,-5876.333333,0,
0.002,33,0,0.05,600,-3.2706,-1635.3,0,
0.2891,33,0,0.05,600,117.3687,405.9795918,0,
0.2905,33,0,0.05,600,117.739,405.2977625,0,
0.2919,33,0,0.05,600,117.9789,404.1757451,0,
0.2932,33,0,0.05,600,118.4064,403.8417462,0,
0.2946,33,0,0.05,600,118.878,403.5234216,0,
0.296,33,0,0.05,600,119.0629,402.239527,0,
0.2974,33,0,0.05,600,119.175,400.7229321,0,
0.2987,33,0,0.05,600,119.6778,400.6622029,0,
0.3001,33,0,0.05,600,119.8557,399.3858714,0,
0,33,0,0.05,1200,-4.7145,0,0,
0.0006,33,0,0.05,1200,-4.9434,-8239,0,
0.002,33,0,0.05,1200,-4.8253,-2412.65,0,
0.0034,33,0,0.05,1200,-3.7951,-1116.205882,0,
0.0047,33,0,0.05,1200,-3.4216,-728,0,
0.0061,33,0,0.05,1200,-1.9569,-320.8032787,0,
0.0075,33,0,0.05,1200,-1.9217,-256.2266667,0,
0.0088,33,0,0.05,1200,-0.9492,-107.8636364,0,
0.0102,33,0,0.05,1200,-0.6519,-63.91176471,0,
0.0116,33,0,0.05,1200,0.6901,59.49137931,0,
0.013,33,0,0.05,1200,0.9557,73.51538462,0,
0.2999,33,0,0.05,1200,70.6947,235.7275759,0,
0.3013,33,0,0.05,1200,71.0403,235.7792897,0,
0,33,0,0.02,1,0.8835,0,0,
0.0002,33,0,0.02,1,1.3402,6701,1,
0.0008,33,0,0.02,1,1.6733,2091.625,1,
0.0013,33,0,0.02,1,2.0074,1544.153846,1,
0.0019,33,0,0.02,1,2.3136,1217.684211,1,
0.0024,33,0,0.02,1,2.6535,1105.625,1,
0.003,33,0,0.02,1,2.9592,986.4,1,
0.0035,33,0,0.02,1,3.3091,945.4571429,1,
0.0041,33,0,0.02,1,3.6081,880.0243902,1,
0.0786,33,0,0.02,1,45.5618,579.6666667,0,
0.0792,33,0,0.02,1,45.8458,578.8611111,0,
0.0797,33,0,0.02,1,46.1479,579.0200753,0,
0.2438,33,0,0.02,10,113.329,464.8441345,0,
0.2443,33,0,0.02,10,113.4962,464.5771592,0,
0.2449,33,0,0.02,10,113.6716,464.1551654,0,
0.2454,33,0,0.02,10,113.8325,463.8651182,0,
0.246,33,0,0.02,10,113.9968,463.401626,0,
0.2465,33,0,0.02,10,114.1677,463.1549696,0,
0.2471,33,0,0.02,10,114.3203,462.6479158,0,
0.2981,33,0,0.02,10,127.6657,428.2646763,0,
0.2986,33,0,0.02,10,127.7943,427.9782317,0,
0.2992,33,0,0.02,10,127.9372,427.5975936,0,
0.2997,33,0,0.02,10,128.0269,427.1835169,0,
0.3003,33,0,0.02,10,128.1722,426.8138528,0,
0,33,0,0.02,100,-1.9171,0,0,
0.0002,33,0,0.02,100,-1.6686,-8343,0,
0.0008,33,0,0.02,100,-1.506,-1882.5,0,
0.0013,33,0,0.02,100,-1.0909,-839.1538462,0,
0.0019,33,0,0.02,100,-0.8482,-446.4210526,0,
0.0024,33,0,0.02,100,-0.4948,-206.1666667,0,
0.003,33,0,0.02,100,-0.1324,-44.13333333,0,
0.0035,33,0,0.02,100,0.1273,36.37142857,0,
0.0041,33,0,0.02,100,0.5032,122.7317073,0,
0.0046,33,0,0.02,100,0.7275,158.1521739,0,
0.2973,33,0,0.02,100,125.3002,421.4604776,0,
0.2979,33,0,0.02,100,125.4601,421.1483719,0,
0.2984,33,0,0.02,100,125.5475,420.7355898,0,
0.299,33,0,0.02,100,125.6688,420.29699,0,
0.2995,33,0,0.02,100,125.7985,420.0283806,0,
0.3001,33,0,0.02,100,125.8499,419.35988,0,
0,33,0,0.02,300,-3.3908,0,0,
0.0002,33,0,0.02,300,-3.4384,-17192,0,
0.0008,33,0,0.02,300,-3.2821,-4102.625,0,
0.0013,33,0,0.02,300,-2.9476,-2267.384615,0,
0.0019,33,0,0.02,300,-2.6809,-1411,0,
0.0024,33,0,0.02,300,-2.3023,-959.2916667,0,
0.003,33,0,0.02,300,-2.0021,-667.3666667,0,
0.0035,33,0,0.02,300,-1.8447,-527.0571429,0,
0.0041,33,0,0.02,300,-1.3581,-331.2439024,0,
0.0046,33,0,0.02,300,-1.2234,-265.9565217,0,
0.0052,33,0,0.02,300,-0.6232,-119.8461538,0,
0.2975,33,0,0.02,300,122.165,410.6386555,0,
0.2981,33,0,0.02,300,122.2748,410.1804764,0,
0.2986,33,0,0.02,300,122.4089,409.9427328,0,
0.2992,33,0,0.02,300,122.4055,409.1092914,0,
0.2997,33,0,0.02,300,122.6294,409.1738405,0,
0.3003,33,0,0.02,300,122.8208,408.993673,0,
0,33,0,0.02,600,-3.7597,0,0,
0.0002,33,0,0.02,600,-4.228,-21140,0,
0.0008,33,0,0.02,600,-4.4214,-5526.75,0,
0.0013,33,0,0.02,600,-4.0091,-3083.923077,0,
0.0019,33,0,0.02,600,-3.9236,-2065.052632,0,
0.0024,33,0,0.02,600,-3.5114,-1463.083333,0,
0.003,33,0,0.02,600,-3.2345,-1078.166667,0,
0.0035,33,0,0.02,600,-2.8197,-805.6285714,0,
0.0041,33,0,0.02,600,-2.5729,-627.5365854,0,
0.0046,33,0,0.02,600,-2.4257,-527.326087,0,
0.0052,33,0,0.02,600,-1.9908,-382.8461538,0,
0.0057,33,0,0.02,600,-1.8319,-321.3859649,0,
0.0063,33,0,0.02,600,-1.2421,-197.1587302,0,
0.0068,33,0,0.02,600,-1.2083,-177.6911765,0,
0.0074,33,0,0.02,600,-0.5555,-75.06756757,0,
0.0294,33,0,0.02,600,11.7201,398.6428571,0,
0.0299,33,0,0.02,600,11.9318,399.0568562,0,
0.0305,33,0,0.02,600,12.2334,401.095082,0,
0.031,33,0,0.02,600,12.6134,406.883871,0,
0.288,33,0,0.02,1200,54.6602,189.7923611,0,
0.2886,33,0,0.02,1200,54.0446,187.2647263,0,
0.2891,33,0,0.02,1200,54.0656,187.0134901,0,
0.2897,33,0,0.02,1200,54.4476,187.9447705,0,
0.2902,33,0,0.02,1200,54.9106,189.2164025,0,
0.2908,33,0,0.02,1200,54.5312,187.5213205,0,
0.2996,33,0,0.02,1200,53.258,177.7636849,0,
0.3001,33,0,0.02,1200,53.3724,177.8487171,0,
0,33,0,0.04,1,1.0233,0,0,
0.0005,33,0,0.04,1,1.8048,3609.6,1,
0.0016,33,0,0.04,1,2.4605,1537.8125,1,
0.0027,33,0,0.04,1,3.1229,1156.62963,1,
0.0038,33,0,0.04,1,3.7489,986.5526316,1,
0.0049,33,0,0.04,1,4.4199,902.0204082,1,
0.006,33,0,0.04,1,5.0359,839.3166667,1,
0.0071,33,0,0.04,1,5.7101,804.2394366,1,
0.0082,33,0,0.04,1,6.3326,772.2682927,1,
0.0093,33,0,0.04,1,7.0073,753.4731183,1,
0.0104,33,0,0.04,1,7.6313,733.7788462,1,
0.0115,33,0,0.04,1,8.2881,720.7043478,1,
0.2954,33,0,0.04,1,127.6023,431.964455,0,
0.2965,33,0,0.04,1,127.8667,431.2536256,0,
0.2976,33,0,0.04,1,128.0934,430.421371,0,
0.2987,33,0,0.04,1,128.3536,429.7073987,0,
0.2998,33,0,0.04,1,128.6186,429.0146765,0,
0.3009,33,0,0.04,1,128.8709,428.2848122,0,
0,33,0,0.04,10,0.3592,0,0,
0.0005,33,0,0.04,10,1.11,2220,1,
0.0016,33,0,0.04,10,1.718,1073.75,1,
0.0027,33,0,0.04,10,2.4469,906.2592593,1,
0.0038,33,0,0.04,10,3.0048,790.7368421,1,
0.0049,33,0,0.04,10,3.7223,759.6530612,1,
0.006,33,0,0.04,10,4.3034,717.2333333,1,
0.0071,33,0,0.04,10,5.0221,707.3380282,1,
0.0082,33,0,0.04,10,5.6037,683.3780488,1,
0.0093,33,0,0.04,10,6.2864,675.9569892,1,
0.0104,33,0,0.04,10,6.9488,668.1538462,1,
0.1233,33,0,0.04,10,67.3862,546.5223033,0,
0.1244,33,0,0.04,10,67.8537,545.4477492,0,
0.1255,33,0,0.04,10,68.3959,544.987251,0,
0.1266,33,0,0.04,10,68.8799,544.0750395,0,
0.2945,33,0,0.04,10,126.9795,431.1697793,0,
0.2956,33,0,0.04,10,127.2249,430.3954668,0,
0.2967,33,0,0.04,10,127.5184,429.7890125,0,
0.2978,33,0,0.04,10,127.7076,428.8368032,0,
0.2989,33,0,0.04,10,127.9611,428.1067247,0,
0.3,33,0,0.04,10,128.248,427.4933333,0,
0,33,0,0.04,100,-1.7786,0,0,
0.0005,33,0,0.04,100,-1.206,-2412,0,
0.0016,33,0,0.04,100,-0.7149,-446.8125,0,
0.0027,33,0,0.04,100,0.0392,14.51851852,0,
0.0038,33,0,0.04,100,0.6354,167.2105263,0,
0.062,33,0,0.04,100,33.7315,544.0564516,0,
0.0631,33,0,0.04,100,34.3318,544.0855784,0,
0.0642,33,0,0.04,100,34.8813,543.3224299,0,
0.084,33,0,0.04,300,43.0847,512.9130952,0,
0.0851,33,0,0.04,300,43.6224,512.6016451,0,
0.0862,33,0,0.04,300,44.2495,513.3352668,0,
0.0873,33,0,0.04,300,44.7897,513.0549828,0,
0.0884,33,0,0.04,300,45.3801,513.3495475,0,
0.0895,33,0,0.04,300,45.9787,513.7284916,0,
0.0906,33,0,0.04,300,46.4619,512.8245033,0,
0.0917,33,0,0.04,300,47.1148,513.7928026,0,
0.0928,33,0,0.04,300,47.5807,512.7230603,0,
0.0939,33,0,0.04,300,48.2201,513.5260916,0,
0.095,33,0,0.04,300,48.69,512.5263158,0,
0.0961,33,0,0.04,300,49.3552,513.5816857,0,
0.3005,33,0,0.04,300,122.9077,409.0106489,0,
0,33,0,0.04,600,-3.625,0,0,
0.0005,33,0,0.04,600,-3.7577,-7515.4,0,
0.0016,33,0,0.04,600,-3.6434,-2277.125,0,
0.0027,33,0,0.04,600,-2.8666,-1061.703704,0,
0.0038,33,0,0.04,600,-2.3673,-622.9736842,0,
0.0049,33,0,0.04,600,-1.7511,-357.3673469,0,
0.006,33,0,0.04,600,-1.0746,-179.1,0,
0.0071,33,0,0.04,600,-0.5898,-83.07042254,0,
0.0159,33,0,0.04,600,4.3126,271.2327044,0,
0.017,33,0,0.04,600,5.0183,295.1941176,0,
0.2972,33,0,0.04,600,119.3503,401.5824361,0,
0.2983,33,0,0.04,600,119.5557,400.7901442,0,
0.2994,33,0,0.04,600,119.783,400.0768203,0,
0.3005,33,0,0.04,600,120.1772,399.9241265,0,
0,33,0,0.04,1200,-4.771,0,0,
0.0005,33,0,0.04,1200,-5.1444,-10288.8,0,
0.0016,33,0,0.04,1200,-5.2587,-3286.6875,0,
0.0027,33,0,0.04,1200,-4.2401,-1570.407407,0,
0.0038,33,0,0.04,1200,-4.1787,-1099.657895,0,
0.0049,33,0,0.04,1200,-2.8107,-573.6122449,0,
0.006,33,0,0.04,1200,-2.7662,-461.0333333,0,
0.0044,44,1,0.05,1,4.9572,1126.636364,1,
0.005,44,1,0.05,1,5.2749,1054.98,1,
0.0056,44,1,0.05,1,5.6348,1006.214286,1,
0.0062,44,1,0.05,1,5.9497,959.6290323,1,
0.0068,44,1,0.05,1,6.2896,924.9411765,1,
0.0074,44,1,0.05,1,6.6265,895.472973,1,
0.008,44,1,0.05,1,6.9472,868.4,1,
0.0085,44,1,0.05,1,7.3252,861.7882353,1,
0.0091,44,1,0.05,1,7.6071,835.9450549,1,
0.0097,44,1,0.05,1,7.9754,822.2061856,1,
0.0103,44,1,0.05,1,8.3137,807.1553398,1,
0.0109,44,1,0.05,1,8.6248,791.266055,1,
0.0115,44,1,0.05,1,8.9726,780.226087,1,
0.0121,44,1,0.05,1,9.2918,767.9173554,1,
0.0127,44,1,0.05,1,9.6097,756.6692913,1,
0.0133,44,1,0.05,1,9.9609,748.9398496,1,
0.0139,44,1,0.05,1,10.2814,739.6690647,1,
0.0145,44,1,0.05,1,10.635,733.4482759,1,
0.0151,44,1,0.05,1,10.9555,725.5298013,1,
0.0156,44,1,0.05,1,11.2666,722.2179487,1,
0.0162,44,1,0.05,1,11.6186,717.1975309,1,
0.0168,44,1,0.05,1,11.9434,710.9166667,1,
0.0174,44,1,0.05,1,12.2629,704.7643678,1,
0.018,44,1,0.05,1,12.6048,700.2666667,1,
0.0186,44,1,0.05,1,12.9336,695.3548387,1,
0.0192,44,1,0.05,1,13.251,690.15625,1,
0.0198,44,1,0.05,1,13.5931,686.520202,1,
0.0204,44,1,0.05,1,13.909,681.8137255,1,
0.021,44,1,0.05,1,14.2404,678.1142857,1,
0.0216,44,1,0.05,1,14.5614,674.1388889,1,
0.0222,44,1,0.05,1,14.9074,671.5045045,1,
